"group","ID"
"all","G2112"
"all","G3147"
"all","G1839"
"all","G1703"
"all","G3095"
"all","G2694"
"all","G2861"
"all","G2107"
"all","G1173"
"all","G2400"
"all","G1103"
"all","G0062"
"all","G0063"
"all","G0112"
"all","G0844"
"all","G2638"
"all","G1361"
"all","G1474"
"all","G1110"
"all","G1399"
"all","G2039"
"all","G1030"
"all","G0620"
"all","G2041"
"all","G1599"
"all","G2040"
"all","G2334"
"all","G2392"
"all","G1430"
"all","G2822"
"all","G2192"
"all","G3167"
"all","G0435"
"all","G1768"
"all","G2250"
"all","G0429"
"all","G2872"
"all","G0791"
"all","G0132"
"all","G1320"
"all","G2310"
"all","G0547"
"all","G1483"
"all","G1368"
"all","G0334"
"all","G1031"
"all","G1710"
"all","G2522"
"all","G2704"
"all","G0472"
"all","G2141"
"all","G1070"
"all","G1322"
"all","G2139"
"all","G0600"
"all","G0881"
"all","G2150"
"all","G1888"
"all","G1907"
"all","G2624"
"all","G2063"
"all","G1061"
"all","G0762"
"all","G0975"
"all","G3085"
"all","G0770"
"all","G2785"
"all","G0386"
"all","G2326"
"all","G1778"
"all","G0643"
"all","G1215"
"all","G1115"
"all","G2931"
"all","G2774"
"all","G1532"
"all","G1353"
"all","G1496"
"all","G0751"
"all","G1526"
"all","G1889"
"all","G0750"
"all","G3150"
"all","G2285"
"all","G2803"
"all","G2639"
"all","G0367"
"all","G2771"
"all","G0934"
"all","G2118"
"all","G0508"
"all","G1261"
"all","G1283"
"all","G2037"
"all","G0275"
"all","G2869"
"all","G3111"
"all","G0916"
"all","G1267"
"all","G1232"
"all","G2378"
"all","G1759"
"all","G1595"
"all","G0350"
"all","G1929"
"all","G2296"
"all","G0293"
"all","G2405"
"all","G2980"
"all","G0263"
"all","G0380"
"all","G2628"
"all","G0964"
"all","G2410"
"all","G0709"
"all","G2623"
"all","G0809"
"all","G2956"
"all","G2277"
"all","G2162"
"all","G2995"
"all","G1830"
"all","G1680"
"all","G0914"
"all","G3117"
"all","G1803"
"all","G1298"
"all","G0510"
"all","G0787"
"all","G0615"
"all","G1780"
"all","G3020"
"all","G1691"
"all","G2621"
"all","G2815"
"all","G0777"
"all","G1844"
"all","G2764"
"all","G2760"
"all","G2982"
"all","G3154"
"all","G2659"
"all","G2902"
"all","G0917"
"all","G0460"
"all","G2431"
"all","G2814"
"all","G0535"
"all","G0091"
"all","G2272"
"all","G0796"
"all","G0140"
"all","G0301"
"all","G1384"
"all","G2840"
"all","G2776"
"all","G3098"
"all","G1468"
"all","G0007"
"all","G2853"
"all","G0420"
"all","G2281"
"all","G2361"
"all","G2684"
"all","G0715"
"all","G2481"
"all","G2474"
"all","G2217"
"all","G3032"
"all","G0162"
"all","G1051"
"all","G0601"
"all","G2685"
"all","G1829"
"all","G1329"
"all","G2388"
"all","G1377"
"all","G0861"
"all","G0582"
"all","G0848"
"all","G0603"
"all","G2235"
"all","G2555"
"all","G0665"
"all","G0277"
"all","G2719"
"all","G2773"
"all","G1885"
"all","G1554"
"all","G1926"
"all","G0425"
"all","G3050"
"all","G0602"
"all","G2692"
"all","G2002"
"all","G1089"
"all","G2370"
"all","G3047"
"all","G2707"
"all","G0905"
"all","G2946"
"all","G0544"
"all","G1262"
"all","G2459"
"all","G2652"
"all","G1293"
"all","G2396"
"all","G1639"
"all","G2420"
"all","G1967"
"all","G1847"
"all","G2845"
"all","G1409"
"all","G0972"
"all","G1279"
"all","G2903"
"all","G0846"
"all","G2473"
"all","G1789"
"all","G0145"
"all","G1453"
"all","G0175"
"all","G0553"
"all","G2042"
"all","G1919"
"all","G2914"
"all","G2043"
"all","G1492"
"all","G0246"
"all","G0946"
"all","G1164"
"all","G2413"
"all","G2856"
"all","G2559"
"all","G1199"
"all","G0337"
"all","G1984"
"all","G2252"
"all","G2951"
"all","G1370"
"all","G1073"
"all","G1497"
"all","G3003"
"all","G2965"
"all","G1594"
"all","G0507"
"all","G1823"
"all","G1251"
"all","G2408"
"all","G1286"
"all","G2429"
"all","G5134"
"all","G5598"
"all","G4928"
"all","G5004"
"all","G3573"
"all","G6046"
"all","G3935"
"all","G5246"
"all","G4427"
"all","G6450"
"all","G6169"
"all","G3387"
"all","G3543"
"all","G3320"
"all","G5788"
"all","G3647"
"all","G4119"
"all","G3219"
"all","G6355"
"all","G5779"
"all","G4526"
"all","G3301"
"all","G5279"
"all","G4532"
"all","G3206"
"all","G5349"
"all","G4800"
"all","G6367"
"all","G3750"
"all","G6539"
"all","G6205"
"all","G6463"
"all","G6552"
"all","G5904"
"all","G5164"
"all","G5519"
"all","G4952"
"all","G4729"
"all","G5979"
"all","G3460"
"all","G3509"
"all","G4926"
"all","G5372"
"all","G3275"
"all","G5906"
"all","G5629"
"all","G4551"
"all","G5803"
"all","G5773"
"all","G4590"
"all","G4588"
"all","G3542"
"all","G5513"
"all","G3932"
"all","G6101"
"all","G4194"
"all","G6447"
"all","G3666"
"all","G6373"
"all","G4710"
"all","G5277"
"all","G3684"
"all","G3778"
"all","G5273"
"all","G3481"
"all","G3838"
"all","G5325"
"all","G4825"
"all","G4586"
"all","G5112"
"all","G3707"
"all","G5856"
"all","G5110"
"all","G4184"
"all","G3528"
"all","G4033"
"all","G6007"
"all","G6464"
"all","G6300"
"all","G4663"
"all","G4185"
"all","G6376"
"all","G4106"
"all","G5332"
"all","G3277"
"all","G5666"
"all","G5334"
"all","G4931"
"all","G3319"
"all","G5330"
"all","G5687"
"all","G5952"
"all","G6405"
"all","G4565"
"all","G5320"
"all","G3410"
"all","G6055"
"all","G3357"
"all","G3418"
"all","G5982"
"all","G4858"
"all","G5835"
"all","G5658"
"all","G5688"
"all","G5282"
"all","G3712"
"all","G4369"
"all","G5186"
"all","G5772"
"all","G3855"
"all","G4640"
"all","G3503"
"all","G5596"
"all","G6415"
"all","G5272"
"all","G6472"
"all","G4970"
"all","G3908"
"all","G3581"
"all","G4038"
"all","G4246"
"all","G5594"
"all","G4738"
"all","G4927"
"all","G5335"
"all","G5947"
"all","G4353"
"all","G3501"
"all","G5165"
"all","G4087"
"all","G3889"
"all","G5243"
"all","G4552"
"all","G6150"
"all","G6230"
"all","G4924"
"all","G3784"
"all","G4983"
"all","G4954"
"all","G4860"
"all","G5684"
"all","G3257"
"all","G4760"
"all","G4107"
"all","G5591"
"all","G5954"
"all","G6203"
"all","G5287"
"all","G4494"
"all","G3254"
"all","G3214"
"all","G3931"
"all","G4734"
"all","G3840"
"all","G3444"
"all","G4491"
"all","G5994"
"all","G4733"
"all","G3827"
"all","G4390"
"all","G5286"
"all","G5612"
"all","G5669"
"all","G4187"
"all","G5981"
"all","G5857"
"all","G4459"
"all","G5839"
"all","G4641"
"all","G4031"
"all","G3866"
"all","G3368"
"all","G3949"
"all","G6371"
"all","G5663"
"all","G5938"
"all","G4522"
"all","G4200"
